indicator_id,indicator_label,fiscal_year,reiwa_year,question_no,denominator,option,score,count,percent,source_pdf_url
living_fukui,福井県に暮らしてきて良かったと思うか,2019,1,問11,2504,暮らしてきてよかった,,1156,46.2,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R1_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2019,1,問11,2504,どちらかといえば暮らしてきてよかった,,891,35.6,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R1_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2019,1,問11,2504,どちらかといえば県外に移り住みたい,,125,5.0,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R1_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2019,1,問11,2504,県外に移り住みたい,,47,1.9,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R1_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2019,1,問11,2504,わからない,,158,6.3,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R1_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2019,1,問11,2504,未記入・無効等,,127,5.1,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R1_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2020,2,問12,1625,暮らしてきてよかった,,794,48.9,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R2_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2020,2,問12,1625,どちらかといえば暮らしてきてよかった,,612,37.7,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R2_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2020,2,問12,1625,どちらかといえば県外に移り住みたい,,82,5.0,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R2_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2020,2,問12,1625,県外に移り住みたい,,20,1.2,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R2_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2020,2,問12,1625,わからない,,108,6.6,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R2_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2020,2,問12,1625,未記入・無効等,,9,0.6,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R2_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2021,3,問12,1686,暮らしてきてよかった,,829,49.2,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R3_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2021,3,問12,1686,どちらかといえば暮らしてきてよかった,,666,39.5,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R3_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2021,3,問12,1686,どちらかといえば県外に移り住みたい,,67,4.0,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R3_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2021,3,問12,1686,県外に移り住みたい,,29,1.7,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R3_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2021,3,問12,1686,わからない,,78,4.6,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R3_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2021,3,問12,1686,未記入・無効等,,17,1.0,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R3_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2022,4,問10,1571,暮らしてきてよかった,,735,46.8,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R4_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2022,4,問10,1571,どちらかといえば暮らしてきてよかった,,582,37.0,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R4_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2022,4,問10,1571,どちらかといえば県外に移り住みたい,,117,7.4,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R4_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2022,4,問10,1571,県外に移り住みたい,,26,1.7,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R4_kekka.pdf
living_fukui,福井県に暮らしてきて良かったと思うか,2022,4,問10,1571,わからない,,82,5.2,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R4_kekka.pdf
