fiscal_year,reiwa_year,calendar_year,survey_target,target_count,method,period_start,period_end,response_count,response_rate_percent,result_pdf_url,summary_pdf_url,source_page_url
2019,1,2019,県内に居住する満18歳以上,5000,郵送,2019-08-29,2019-09-12,2504,50.08,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R1_kekka.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R1_gaiyou.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire.html
2020,2,2020,県内に居住する満18歳以上,3000,郵送,2020-10-22,2020-11-05,1625,54.17,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R2_kekka.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R2_gaiyou.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire.html
2021,3,2021,県内に居住する満18歳以上,3000,郵送,2021-10-25,2021-11-15,1686,56.2,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R3_kekka.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R3_gaiyou.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire.html
2022,4,2022,県内に居住する満18歳以上,3000,郵送およびWEB,2022-10-28,2022-11-18,1571,52.37,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R4_kekka.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R4_gaiyou.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire.html
2023,5,2023,県内に居住する満18歳以上,3219,郵送およびWEB,2023-07-26,2023-08-21,1583,49.18,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R5_kekka.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R5_gaiyou.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire.html
2024,6,2024,県内に居住する満18歳以上,3184,郵送およびWEB,2024-07-05,2024-07-26,1710,53.7,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R6_kekka.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R6_gaiyou.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire.html
2025,7,2025,県内に居住する満18歳以上,3208,郵送およびWEB,2025-08-27,2025-09-22,1575,49.1,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R7_kekka.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire_d/fil/R7_gaiyou.pdf,https://www.pref.fukui.lg.jp/doc/seiki/vision2019/pre_questionnaire.html
